"","Location","Site","Circle","Transect","Species","cover","n","SiteID"
"368","Inner","Nikko Bay",4,3,"Porites Massive",7.8,5,"F"
"369","Inner","Nikko Bay",4,3,"Porites cf. nigrescens",0,0,"F"
"370","Inner","Nikko Bay",4,3,"Porites cf. rus",10.8,8,"F"
"372","Inner","Nikko Bay",4,3,"Stylophora cf. pistillata",0,0,"F"
"374","Outer","Pats Dropoff",1,1,"Acropora cf. subglabra",0,0,"C"
"375","Outer","Pats Dropoff",1,1,"Acropora cf. humilis",0,0,"C"
"376","Outer","Pats Dropoff",1,1,"Acropora cf. hyacinthus",15.63,4,"C"
"377","Outer","Pats Dropoff",1,1,"Acropora cf. muricata",17.9,5,"C"
"378","Outer","Pats Dropoff",1,1,"Acropora cf. tenuis",14.8,8,"C"
"379","Outer","Pats Dropoff",1,1,"Agariciidae",0,0,"C"
"380","Outer","Pats Dropoff",1,1,"Anacropora spinosa",0,0,"C"
"383","Outer","Pats Dropoff",1,1,"Fungiidae",0,0,"C"
"385","Outer","Pats Dropoff",1,1,"Goniastrea spp.",0,0,"C"
"388","Outer","Pats Dropoff",1,1,"Isopora cf. brueggemanni",1.7,1,"C"
"389","Outer","Pats Dropoff",1,1,"Lobophyllia spp.",0,0,"C"
"391","Outer","Pats Dropoff",1,1,"Montipora",0,0,"C"
"392","Outer","Pats Dropoff",1,1,"Other Lobophyllidae",0,0,"C"
"393","Outer","Pats Dropoff",1,1,"Other Merulinidae",0,0,"C"
"394","Outer","Pats Dropoff",1,1,"Other Pocillopora",0,0,"C"
"395","Outer","Pats Dropoff",1,1,"Other Scleractinia",0,0,"C"
"396","Outer","Pats Dropoff",1,1,"Pocillopora cf. damicornis",0,0,"C"
"397","Outer","Pats Dropoff",1,1,"Pocillopora cf. verrucosa",0,0,"C"
"398","Outer","Pats Dropoff",1,1,"Porites cf. cylindrica",0,0,"C"
"399","Outer","Pats Dropoff",1,1,"Porites Massive",5.3,3,"C"
"400","Outer","Pats Dropoff",1,1,"Porites cf. nigrescens",0,0,"C"
