,Site,IMG,planar_area,n_branches,n_in_area,branch_width1,branch_width2,branch_width3,corallite_width,n_corallites,box_width,IMG_side,colony_height,branch_height1,branch_height2,branch_height3,base_width,top_width,colour
66,Site 3,IMG_1527,15.8,24,15.8,0.33,0.35,0.28,0.02,35,0.25,IMG_1527,2.7,0.8,0.9,1,2.7,4.7,pale_yellow
67,Site 3,IMG_1528,97.2,27,25,0.3,0.31,0.42,0.04,12,0.25,IMG_1529,11.32,2.8,2.99,4.62,7.3,12.8,pale_brown
68,Site 3,IMG_1530,82.9,25,4,0.22,0.23,0.24,0.04,17,0.25,IMG_1531,5.2,0.98,0.98,1.02,7.9,12,pale_brown
69,Site 3,IMG_1532,45.03,18,9,0.28,0.33,0.36,0.04,30,0.25,IMG_1533,6.71,1.7,2.09,2.6,5.7,7.6,pale_brown
70,Site 3,IMG_1534,43.8,41,43.8,0.34,0.29,0.31,0.04,22,0.25,IMG_1535,7.1,1.8,1.9,2.3,8.9,13.7,pale_brown
71,Site 3,IMG_1536,143.9,30,25,0.33,0.34,0.25,0.06,16,0.25,IMG_1537,8.4,3.4,3.3,2.6,11.4,17.9,pale_brown
72,Site 3,IMG_1538,157.5,43,157.5,1.35,1.28,1.3,0.01,45,0.25,IMG_1539,6.5,2.75,2.5,1.6,9.7,10.4,pale_brown
73,Site 3,IMG_1540,37.6,28,37.6,0.78,0.91,0.98,0.01,47,0.25,IMG_1541,5.5,1.3,1.5,1.35,4.3,4.9,brown
74,Site 3,IMG_1542,131.4,34,4,0.18,0.25,0.2,0.04,21,0.25,IMG_1543,4.48,0.56,0.65,0.73,2.7,11.4,brown
75,Site 3,IMG_1544,19.6,28,19.6,0.47,0.38,0.58,0.02,22,0.25,IMG_1545,2.5,1.1,1.2,0.8,2.75,5.4,pale_yellow
76,Site 3,IMG_1546,8.74,18,8.74,0.25,0.27,0.18,0.03,12,0.5,IMG_1547,2.86,2.7,2.4,2.7,1.7,4.2,blue
77,Site 3,IMG_1548,300.8,26,36,0.27,0.26,0.24,0.03,10,0.5,IMG_1548,9.9,1,1.7,0.9,13,18,blue_brown
78,Site 3,IMG_1549,84.7,65,84.7,0.52,0.59,0.44,0.01,20,0.25,IMG_1550,5.6,0.55,0.43,0.68,11.3,1.7,pale_brown
79,Site 3,IMG_1559,33.1,56,4,0.18,0.14,0.17,0.03,46,0.25,IMG_1560,1.57,0.37,0.37,0.37,2.8,4.2,pale_brown
80,Site 3,IMG_1562,28.7,45,28.7,0.63,0.54,0.67,0.03,53,0.25,IMG_1563,4.09,0.9,1.1,1,4.84,6.7,pale_yellow
81,Site 3,IMG_1565,996.1,50,36,0.27,0.22,0.28,0.04,10,0.5,IMG_1566,22.9,1.3,1.6,1.2,33,39,brown
82,Site 4a,IMG_1651,155.1,30,16,0.21,0.21,0.22,0.01,12,0.5,IMG_1652,8.04,0.77,0.71,0.72,2.4,7.1,red_brown
83,Site 4a,IMG_1653,56.1,57,16,0.19,0.18,0.2,0.04,11,0.25,IMG_1654,6.5,0.6,0.7,0.5,2.9,7.4,red_brown
84,Site 4a,IMG_1655,38.5,58,9,0.17,0.16,0.19,0.01,17,0.25,IMG_1656,5.1,0.8,0.7,0.9,4.05,9.9,brown
85,Site 4a,IMG_1657,87.7,35,25,0.17,0.17,0.2,0.02,27,0.25,IMG_1658,6.5,0.59,0.75,0.79,7.18,11.8,yellow
86,Site 4a,IMG_1659,19.5,47,19.5,0.25,0.29,0.23,0.03,26,0.25,IMG_1660,3,0.56,0.57,0.66,1.7,7,red_brown
87,Site 4a,IMG_1661,183.3,32,25,0.53,0.5,0.8,0.04,44,0.3,IMG_1662,7,2.7,2.3,2.5,11.7,18,brown
88,Site 4a,IMG_1663,187,36,25,0.28,0.29,0.36,0.03,30,0.25,IMG_1663,4.5,2.2,1.9,2.1,9.4,16,brown
